,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
400,"Meridian Medical Technologies, LLC
3.0",Data Scientist,"Saint Louis, MO","ROLE SUMMARY
The Data Scientist is responsible for overseeing the collection and interpretation of data for businesses. Their duties include sifting through data points to create organized categories, comparing data points to current company processes and writing reports outlining business predictions or proposals.
Candidate in this role will be responsible for providing statistical support to intra-departmental and customers, support development, adoption and implementation of innovative solutions through statistical analysis tools, and actively engage with Pfizer statistical community in discussions of best practices.
ROLE RESPONSIBILITIES:
Analyze large amounts of information to discover trends and patterns to inform solutions and strategies to business challenges


Show More
Report",#N/A,201 to 500 Employees,Subsidiary or Business Segment,Manufacturing,Health Care Products Manufacturing,2003,$25 to $50 million (USD)
401,"Notion
4.8","Data Scientist, Product","San Francisco, CA","About Us:
We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.
We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.

Notion is an in person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).


Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable
402,"Hendall Inc
3.3",Data Scientist,"Rockville, MD","OVERVIEW
Hendall is currently seeking a Data Scientist, with experience in applying Natural Language Processing (NLP) / Machine Learning (ML) / Artificial Intelligence (AI) for processing and analyzing behavioral health or healthcare data, to join a project team supporting SAMHSA's Behavioral Health Services Information System (BHSIS).
In December 2016, the 21st Century Cures Act (Cures Act) was signed into law and codified CBHSQ. CBHSQ conducts national surveys tracking population-level behavioral health issues. CBHSQ also provides statistical and analytical expertise; both activities support the Assistant Secretary for Mental Health and Substance Use and the Secretary of HHS. CBHSQ maintains several data collection systems and surveys on key topics in U.S. behavioral health. This position will support the Behavioral Health Services Information System (BHSIS), which collects information on the U.S. behavioral health treatment system and connects people with substance use and mental health treatment through the Behavioral Health Treatment Services Locator. The Data Scientist will be collaborative and demonstrate focus and attention to detail. He / she receives, analyzes, and processes BHSIS substance abuse treatment services and mental health treatment services data. Specifically:
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,#N/A,$25 to $50 million (USD)
403,"Zen Strategics LLC
4.0",Data Scientist,Remote,"Description:
Zen Strategics, a niche Cyber Security Firm, is looking for a Data Scientist
Requirements:
Proficiency with major data science tools and languages such as Python, R, NiFi, PostgreSQL/SQL, Spark, and Git
Demonstrated experience with cleaning, managing, optimizing performance with, and processing large volumes of data
Familiarity with industry best practices for software/hardware optimization when processing large data sets and offers experience in the following required task areas: experience with machine learning, statistical modeling and forecasting
Experience with Hadoop, Spark, or other parallel storage/computing processes is a plus
Requirements:
Show More
Report",#N/A,1 to 50 Employees,Self-employed,#N/A,#N/A,#N/A,Less than $1 million (USD)
404,Tek minded INC,Data Scientist,Remote,"Hi,
Hope your doing well,
Please find the below requirement and let me know your interest,
Job Title:Data Scientist
Job Location:Bellevue,Wash., Atlanta, Ga. or Overland park, Kansas)
Job Duration:Long Term contract
Job Description:
5+ years of experience in developing scalable distributed machine learning systems
Should be able to work with a distributed multi-vendor team in a multi-cultural environment across multiple geographies taking care of a complex web application
Show More
Report",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
405,"Blue Cross & Blue Shield of Rhode Island
3.6",Data Scientist,"Providence, RI","Please email hr_business_partners@bcbsri.org if you are a candidate seeking a reasonable accommodation for the application and/or interview process.

Salary Range: $88,100 - $132,100
Type of position: Hybrid or Remote

Jump into the new world of health insurance:
At Blue Cross & Blue Shield of Rhode Island (BCBSRI), our business is healthcare. But our focus is on improving lives. Be part of a team that’s large enough to make a difference but small enough to be innovative. Work in a rapidly changing field. Take a chance to be creative. Move outside the status quo. Shape new ideas with the power of a national brand behind you.

Join others who know diversity is strength:
We appreciate and celebrate everything that makes us unique: age, national origin, citizenship status, perspectives, experiences, physical or mental disability, military status, race, ethnicity, religion, gender, sexual orientation, gender identity and/or expression. Our diversity strengthens us as an organization and helps us better serve an increasingly diverse Rhode Island population.


Research, manipulate, and interpret complex data and analyze results using machine learning, advanced statistics, trend analysis, and other artificial intelligence techniques to draw business inferences and clearly articulate findings with the target audience. Design and implement data collection systems and other methods ensuring data integrity and statistical accuracy. Collect and analyze data from multiple internal and external sources. Extract and identify relevant information from databases and systems. Mine and interpret results providing consultative feedback to various areas in order to improve service delivery and enhance program design efforts.




BCBSRI is headquartered in downtown Providence, conveniently located near the train station and bus terminal. We actively support associate well-being and work/life balance and offer the following schedules, based on role:
o. Arizona, Connecticut, Florida, Georgia, Louisiana, Maine, Massachusetts, Nevada, New Hampshire, North Carolina, Pennsylvania, Rhode Island, South Carolina, Texas, Virginia


Blue Cross & Blue Shield of Rhode Island has a COVID-19 vaccination requirement for all associates. Offers of employment are contingent on being fully vaccinated for COVID-19 or through an approved accommodation request for either a medical or religious exemption. Requests for accommodations can be made to a representative in the human resources department upon receiving an offer.

At Blue Cross & Blue Shield of Rhode Island (BCBSRI), diversity and inclusion are central to our core values and strengthen our ability to meet the challenges of today's healthcare industry. BCBSRI is an equal opportunity, affirmative action employer. We provide equal opportunities without regard to race, color, religion, gender, age, national origin, disability, veteran status, sexual orientation, genetic information and gender identity or expression.
The law requires an employer to post notices describing the Federal laws prohibiting job discrimination based on race, color, sex, national origin, religion, age, equal pay, disability, veteran status, sexual orientation, and genetic information and gender identity or expression. Please visit https://www.eeoc.gov/employers/eeo-law-poster to view the ""EEO is the Law"" poster.
Show More
Report",#N/A,501 to 1000 Employees,Non-profit Organisation,Insurance,Insurance Carriers,1939,Unknown / Non-Applicable
406,"Ecosystem Planning and Restoration, LLC
5.0",Data Scientist,"Tomball, TX","Data Scientist
Ecosystem Planning and Restoration, LLC
Job description
Ecosystem Planning and Restoration, LLC, (EPR) has an open position for a Remote full-time Data Scientist, with the option to office near any one of our locations in Houston, TX, San Antonio, TX, Raleigh, NC, Asheville, NC, and Columbia, MD.
Company Information
Ecosystem Planning and Restoration, LLC specializes in providing environmental planning, ecosystem restoration and mitigation, environmental studies, permitting, watershed studies and water resources engineering services throughout the United States. The company was founded in 2012 as a premier ecosystem planning & restoration firm providing services to support a sustainable environment. We are a growing firm devoted to providing exceptional quality to our clients, and an exciting and diverse workplace for our staff. In 2017, EPR was ranked #508 on Inc. 5000’s list of the fastest growing companies in the US, and also was rated the #1 Environmental Firm to Work For by Zweig White in 2017 and 3rd in 2018.
Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
407,"Strider Technologies
5.0",Senior Data Scientist,"South Jordan, UT","Strider is revolutionizing the way companies, universities, research institutions, and government agencies protect their innovation and compete in a new era of global strategic competition. Our trailblazing technology and intelligence solutions enable clients to proactively identify, manage, and respond to nation-state directed IP theft and supply chain vulnerabilities.
If you're ready to be part of an elite team tackling some of the most pressing security and technology challenges, let's talk.
As a Senior Data Scientist on Strider's Engineering team, your job is to research and develop new data solutions, scale existing data applications, and bend Strider's data strategies to accomplish many goals within a growing startup. We're looking for someone with expertise in statistical modeling who is deeply curious and demonstrates a proven ability to build data solutions from scratch.
You will:
Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
408,"Devcare Solutions
3.4",Data Scientist,"Columbus, OH","TECHNICAL SKILLS
Must Have
4-5 years related work experience, including two to three years specializing in machine learning and cloud computing.
Intermediate proficiency in one or more programming languages, including R, Python, Spark, and others
Master’s degree or above in Statistics, Economics, Data Science, or related field.
Outstanding written and verbal communication skills, able to explain complicated AI models using easy to understand language
Progressive thinking and problem solving, with a strong ability to manage ambiguity/complexity
Proven experience working as a data/AI Product Owner or managing data/AI projects using Agile processes
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2005,Unknown / Non-Applicable
409,"Avis Technologies
5.0",Data Scientist,"Dallas, TX","Position: Data Scientist (Strong PowerBI knowledge)
Location : Dallas Or Bentonville
Duties: Build data-driven solutions by implementing state-of-the-art techniques in Machine Learning, Deep Learning, and Information Retrieval to enhance the Browse and Search experience for Wal-Mart's eCommerce site. Work with high dimensional and fast-moving data to perform feature engineering and develop Machine Learning systems for facet optimization. Apply natural language processing to generate in real-time, text-based attributes that would improve the relevance ranking of the products retrieved by the search engine. Analyze search logs and build statistical models that suggest related or refined search terms to help users narrow down the result set for broad queries. Iteratively enhance existing data science products and research novel methods in query intent understanding, query rewriting, autocompletion, and search re-ranking. Develop end-to-end ownership by building data engineering pipelines and deploying the model into production via Cloud technologies. Run large-scale A/B tests to evaluate the model performance and quantify the impact on various user engagement metrics. Work cross-functionally with stakeholders in Engineering and Product to communicate analysis insights, algorithm proposals, and performance results.
Show More
Report",#N/A,Unknown,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
410,"Hyperspace Ventures
4.2",Data Scientist,"Durham, NC","Durham, NC | Austin, TX | Remote | Full Time
Data Scientist
We're looking for Data Scientists to work on our core and business products to help shape the future of what we build at Hyperspace Ventures. You will enjoy working with various data sets, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product.

Responsibilities:
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products






Show More
Report",#N/A,1 to 50 Employees,Company - Private,Information Technology,Internet & Web Services,2017,Unknown / Non-Applicable
411,"Arvest Bank
4.0",Enterprise Data Scientist,United States,"Pay is based on a number of factors including the successful candidate’s job-related knowledge and skills, qualifications, and prior experience. Arvest offers a comprehensive suite of benefits, including a full range of health and life, financial, and wellness benefits. For more information about benefits, please visit www.arvest.com/careers/benefits .

Position is Monday through Friday from 8 am to 5 pm with the ability to work additional hours as project needs demand.
Incumbent should be located within the Arvest 4 State Footprint (AR, KS, MO, OK). Remote work options may be available outside of the 4-state footprint upon further review during the interview process.

The story of Arvest is one of commitment started by our founders in 1961, with an intense dedication to focusing on our customers. We will always be active and involved members of the communities we serve, and we will always work to put the needs of our customers first as we continue to fulfill our mission –




Show More
Report",#N/A,5001 to 10000 Employees,Company - Private,Finance,Banking & Lending,1999,$500 million to $1 billion (USD)
412,"Vetro Tech Inc
3.9",Data Scientist,"Los Angeles, CA","We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms

Show More
Report",#N/A,Unknown,Company - Public,Human Resources & Staffing,"Staffing, Recruitment & Subcontracting",#N/A,Unknown / Non-Applicable
413,"Roku
4.3","Sr. Data Scientist, Roku Pay","San Jose, CA","Teamwork makes the stream work.
Roku is changing how the world watches TV
Roku is the #1 TV streaming platform in the US, and we’ve set our sights on powering every television in the world. Roku pioneered streaming to the TV. Our mission is to be the TV streaming platform that connects the entire TV ecosystem. We connect consumers to the content they love, enable content publishers to build and monetize large audiences, and provide advertisers unique capabilities to engage consumers.
From your first day at Roku, you’ll make a valuable — and valued — contribution. We’re a fast-growing public company where no one is a bystander. We offer you the opportunity to delight millions of TV streamers around the world while gaining meaningful experience across a variety of disciplines.





Show More
Report",#N/A,1001 to 5000 Employees,Company - Public,Information Technology,Information Technology Support Services,2002,$2 to $5 billion (USD)
414,"VirginPulse
3.4",Data Scientist I,Remote,"Overview:
Now is the time to join us!
At Virgin Pulse we value and celebrate diversity and we are committed to creating an inclusive environment for all employees. We believe in creating teams made up of individuals with various backgrounds, experiences, and perspectives. Why? Because diversity inspires innovation, collaboration, and challenges us to produce better solutions. But more than this, diversity is our strength, and a catalyst in our ability to #changelivesforgood.
Responsibilities:
Who are you?
You are a Data Scientist who will hit the ground running to support the organization's efforts to drive personalization and targeted intervention in the health engagement SaaS industry. You have a solid statistical and modeling skill set and the technical tools to complete projects end to end. This role will be responsible for preparing datasets, building predictive machine learning models, and optimizing model performance. We are looking for someone who is self-directed and thrives working in a fast-paced, collaborative environment in which expectations are high both for the quality and speed of work. A successful candidate will have a hunger for continuous learning, a desire to grow and lead, and strong interpersonal relationship skills.




Qualifications:


Show More
Report",#N/A,1001 to 5000 Employees,Company - Private,Information Technology,Computer Hardware Development,2004,$25 to $50 million (USD)
415,"Kyla
3.5",Jr. Data Scientist,"San Jose, CA","Job Type: Full Time
We are looking for Jr. Data Scientists to join our team.
Kyla is the next generation of healthcare tech. Our mission is to help people live longer and healthier. With the latest AI technologies, we provide the best digital healthcare for everyone. We have several digital products such as mobile app, and three web applications for companies and doctors. We work with Fortune 500 companies. Our solutions are used by thousands, and recently we won the Exceptional Innovation By The 2020 Pandemic Tech Innovation Awards. Our team is bright minds who love their job and development and are not afraid of working in a fast-growing lean startup.
If you would like to join us, do not hesitate to apply.
Required skills:













Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
416,"Wise Equation Solutions
4.9",Data Scientist,"Austin, TX","Skills relating to Mathematics/Statistics .
Graduate/Engineer/Post-Graduate with a huge interest in handling numbers.
Ability to understand all domains in businesses across various sectors.
A natural passion for numbers, business, coding, Analytics, and Artificial Intelligence, Machine Learning, visualization.
Good verbal and written communication skills.
Analyze large and complex data sets from multiple sources.
Develop and evaluate data analytics models, algorithms and solutions.
Implement algorithms to mine targeted data and the ability to convert data into a business story.
Translate business requirements into technical requirements.
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2006,$5 to $25 million (USD)
417,"Altamira
4.1","Data Scientist, Jr.","Hurlburt Field, FL","Data Scientist
Altamira delivers a variety of analytic and engineering capabilities to the US National Security community, but the tech culture and the caliber of the individuals that bring these capabilities to fruition are what really set us apart. Our Dayton, OH office is highly focused on the Space-based mission set with a heavy emphasis on sensor exploitation and analysis; Tampa, FL focuses on ‘art-of-the-possible’ analytics of all kinds with an emphasis on graph technologies, NLP, and wrangling complex data sets; and all forces converge at our headquarters in the Northern Virginia/Washington DC area where we host our tech events and support engineering and analytic missions across several IC and DOD agencies.
While our work occurs in different states and different mission domains, we’ve got analytics at the heart of every operation and genuine curiosity for new methods, techniques, and solutions. Our specialties are data science and analytics, data engineering, software engineering, and end-to-end analytic solutions architecture. We’ve also got some awesome benefits like the Altamira Healthy Living program, with ongoing competitions and a flexible spending stipend for health and wellness-related items.

Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2001,$25 to $50 million (USD)
418,"DICK'S Sporting Goods
3.8",Data Scientist,"Melville, NY","WHAT YOU'LL DO IN THIS ROLE
The core data science team at DICK'S Sporting Goods is seeking a Data Scientist to support product teams within the technology organization. Currently the team has a variety of work ranging from natural language processing to supply chain optimization, and is looking to continue to expand its footprint.
Machine Learning Applications & Analyses
Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data.
Build and put into deployment algorithmic solutions that focus on improving the customer’s experience and driving value both in-store and on our website.

Show More
Report",#N/A,10000+ Employees,Company - Public,Retail & Wholesale,Sporting Goods Stores,1948,$5 to $10 billion (USD)
419,"Reliable Transportation Solutions
4.5",Data Scientist,"Cincinnati, OH","Data Scientist / Machine Learning and Artificial Intelligence Wizard
RTS is looking for a talented Data Scientist to join our team and help take us to the next level. In this role, you will report directly to the Data and Analytics Team Lead, and you'll be responsible for building and implementing Machine Learning and Artificial Intelligence models to address complex business problems and improve operational efficiency. The ideal candidate will also have experience in the logistics and supply chain industry-which will help us stay ahead of the curve and maintain our leadership position in the market.
WHY CONSIDER WORKING AT RTS?
Competitive pay
We’re a growing company in a rapidly-expanding industry (which means you can grow with us)
We’re local! Look no further than our coney-eating contests and Bengals’ gear days to see our Cincy spirit
BUT, we have left our footprint (or rather, tire tracks) across the entire country with our great reputation

Show More
Report",#N/A,51 to 200 Employees,Company - Private,Transportation & Logistics,Shipping & Trucking,2006,$100 to $500 million (USD)
420,MMStartup,Data Scientist,"Ashburn, VA","**************************************************************************************************************************
MMStartup is a pre-startup domain dedicated to Market Research and other R&D activities.
Currently, we are conducting integration testing from external websites such as Indeed, Glassdoor, and others. We'd like to ask potential candidates to disregard this job posting, and we apologize for any inconvenience caused during the job analysis process. **************************************************************************************************************************

Job Responsibilities:
We are looking for a Data Scientist with an entrepreneur’s mindset to support a fast-paced and growing data science team working on projects critical to National Security. The position is located within a classified space in the Northern Virginia area, and requires an active TS/SCI with Polygraph security clearance.







Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
421,"Warren CAT
4.2",Data Scientist,"Abilene, TX","TEAM UP WITH US!
***Candidates must reside in the Warren CAT territory. Reference:
https://www.warrencat.com/locations/
The Data Scientist is responsible for analyzing data and conducting important research to drive business decisions based on strategic goals for the organization. The Data Scientist acts as a trusted data visualization advisor to the stakeholder/end-user in order to drive business value. Work is somewhat complex in nature and performed under general supervision, requiring independent judgment.

DO YOU HAVE WHAT IT TAKES?













Show More
Report",#N/A,1001 to 5000 Employees,Company - Private,Retail & Wholesale,Motor Vehicle Dealers,1971,$100 to $500 million (USD)
422,"ERPMark Inc
4.0",Chief Data Scientist,"Richmond, VA","Role: Chief Data Scientist
Location: Virginia (Hybrid Model)
Job Type: Contract to Hire / Full Time.
A Chief Data Scientist focusing on this project should have (or represent a team with) extensive experience working with various NLP techniques and algorithms, such as text pre-processing/model development, model evaluation, model explainability, and model deployment.
Text preprocessing and model development: Proficiency in techniques for cleaning, preprocessing, and transforming unstructured text data into structured formats suitable for machine learning algorithms is essential. This includes text normalization, stemming, lemmatization, vectorization methods such as TF-IDF/sentence embeddings (i.e., sentence-transformers), fine-tuning of pre-trained language models (i.e., BERT), and sentiment analysis.
Show More
Report",#N/A,1 to 50 Employees,Company - Private,Management & Consulting,Business Consulting,#N/A,Less than $1 million (USD)
423,"Altak Group
2.0",Sr. Data Scientist,Remote,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve the client's systems. In this role, you should be highly analytical with a knack for analysis, math, and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine learning and research.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake to preprocess of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
424,"BRADY WORLDWIDE INC
3.6",Data Scientist,"Milwaukee, WI","Who Are We:
Brady Corporation is an international manufacturer and marketer of complete solutions that identify and protect people, products and places. Brady's products help customers increase safety, security, productivity and performance and include high-performance labels, signs, safety devices, printing systems and software. Founded in 1914, the Company has a diverse customer base in electronics, telecommunications, manufacturing, electrical, construction, medical, aerospace and a variety of other industries. Brady is headquartered in Milwaukee, Wisconsin and as of July 31, 2022, employed approximately 5,700 people in its worldwide businesses. Brady's fiscal 2022 sales were approximately $1.30 billion. Brady stock trades on the New York Stock Exchange under the symbol BRC. More information is available on the Internet at www.bradyid.com.

Brady offers a hybrid work option that allows for both personal flexibility and in person collaboration to deliver the greatest outcomes for our people and customers. This option is a mix of in the office and one offsite day which is pre-determined based on role and function.

Director of Business Intelligence

A key member of the Business Intelligence team, this person will design and tune the AI/stat models to meet the business needs.

Show More
Report",#N/A,5001 to 10000 Employees,Company - Public,Manufacturing,Machinery Manufacturing,1914,$2 to $5 billion (USD)
425,Tek minded INC,Data Scientist,Remote,"Hi,
Hope your doing well,
Please find the below requirement and let me know your interest,
Job Title:Data Scientist
Job Location:Bellevue,Wash., Atlanta, Ga. or Overland park, Kansas)
Job Duration:Long Term contract
Job Description:
5+ years of experience in developing scalable distributed machine learning systems
Should be able to work with a distributed multi-vendor team in a multi-cultural environment across multiple geographies taking care of a complex web application
Show More
Report",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
426,Softinc,Data Scientist,"Melville, NY","SOFT's client, located in Melville, NY, is looking for a Data Scientist with strong PowerBI skills for a long term contract assignment. This is an on-site position and candidates must be local to the area.
We are seeking a talented Data Modeler/Scientist to assist with the design and implementation of dashboards, data modeling, and databases. As a Data Modeler, you will be working closely with Project Schedulers and Cost analysts to implement data modeling solutions in order to streamline and support enterprise information management across multiple organizations.
The Data Modeler/Scientist will obtain information, provide analysis and recommendations that drive and support project goals and positively influence project direction; performs cost and schedule forecasting, schedule analysis that detects and identify slippage, assess supporting data, variance reporting, and conduct special studies for the organization. Evaluate and report the impacts of productivity changes, and provide recommendations and corrective actions.
Show More
Report",#N/A,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,#N/A,Unknown / Non-Applicable
427,"Avis Technologies
5.0",Data Scientist,"Dallas, TX","Position: Data Scientist (Strong PowerBI knowledge)
Location : Dallas Or Bentonville
Duties: Build data-driven solutions by implementing state-of-the-art techniques in Machine Learning, Deep Learning, and Information Retrieval to enhance the Browse and Search experience for Wal-Mart's eCommerce site. Work with high dimensional and fast-moving data to perform feature engineering and develop Machine Learning systems for facet optimization. Apply natural language processing to generate in real-time, text-based attributes that would improve the relevance ranking of the products retrieved by the search engine. Analyze search logs and build statistical models that suggest related or refined search terms to help users narrow down the result set for broad queries. Iteratively enhance existing data science products and research novel methods in query intent understanding, query rewriting, autocompletion, and search re-ranking. Develop end-to-end ownership by building data engineering pipelines and deploying the model into production via Cloud technologies. Run large-scale A/B tests to evaluate the model performance and quantify the impact on various user engagement metrics. Work cross-functionally with stakeholders in Engineering and Product to communicate analysis insights, algorithm proposals, and performance results.
Show More
Report",#N/A,Unknown,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
428,"Zen Strategics LLC
4.0",Data Scientist,Remote,"Description:
Zen Strategics, a niche Cyber Security Firm, is looking for a Data Scientist
Requirements:
Proficiency with major data science tools and languages such as Python, R, NiFi, PostgreSQL/SQL, Spark, and Git
Demonstrated experience with cleaning, managing, optimizing performance with, and processing large volumes of data
Familiarity with industry best practices for software/hardware optimization when processing large data sets and offers experience in the following required task areas: experience with machine learning, statistical modeling and forecasting
Experience with Hadoop, Spark, or other parallel storage/computing processes is a plus
Requirements:
Show More
Report",#N/A,1 to 50 Employees,Self-employed,#N/A,#N/A,#N/A,Less than $1 million (USD)
429,"Blue Cross & Blue Shield of Rhode Island
3.6",Data Scientist,"Providence, RI","Please email hr_business_partners@bcbsri.org if you are a candidate seeking a reasonable accommodation for the application and/or interview process.

Salary Range: $88,100 - $132,100
Type of position: Hybrid or Remote

Jump into the new world of health insurance:
At Blue Cross & Blue Shield of Rhode Island (BCBSRI), our business is healthcare. But our focus is on improving lives. Be part of a team that’s large enough to make a difference but small enough to be innovative. Work in a rapidly changing field. Take a chance to be creative. Move outside the status quo. Shape new ideas with the power of a national brand behind you.

Join others who know diversity is strength:
We appreciate and celebrate everything that makes us unique: age, national origin, citizenship status, perspectives, experiences, physical or mental disability, military status, race, ethnicity, religion, gender, sexual orientation, gender identity and/or expression. Our diversity strengthens us as an organization and helps us better serve an increasingly diverse Rhode Island population.


Research, manipulate, and interpret complex data and analyze results using machine learning, advanced statistics, trend analysis, and other artificial intelligence techniques to draw business inferences and clearly articulate findings with the target audience. Design and implement data collection systems and other methods ensuring data integrity and statistical accuracy. Collect and analyze data from multiple internal and external sources. Extract and identify relevant information from databases and systems. Mine and interpret results providing consultative feedback to various areas in order to improve service delivery and enhance program design efforts.




BCBSRI is headquartered in downtown Providence, conveniently located near the train station and bus terminal. We actively support associate well-being and work/life balance and offer the following schedules, based on role:
o. Arizona, Connecticut, Florida, Georgia, Louisiana, Maine, Massachusetts, Nevada, New Hampshire, North Carolina, Pennsylvania, Rhode Island, South Carolina, Texas, Virginia


Blue Cross & Blue Shield of Rhode Island has a COVID-19 vaccination requirement for all associates. Offers of employment are contingent on being fully vaccinated for COVID-19 or through an approved accommodation request for either a medical or religious exemption. Requests for accommodations can be made to a representative in the human resources department upon receiving an offer.

At Blue Cross & Blue Shield of Rhode Island (BCBSRI), diversity and inclusion are central to our core values and strengthen our ability to meet the challenges of today's healthcare industry. BCBSRI is an equal opportunity, affirmative action employer. We provide equal opportunities without regard to race, color, religion, gender, age, national origin, disability, veteran status, sexual orientation, genetic information and gender identity or expression.
The law requires an employer to post notices describing the Federal laws prohibiting job discrimination based on race, color, sex, national origin, religion, age, equal pay, disability, veteran status, sexual orientation, and genetic information and gender identity or expression. Please visit https://www.eeoc.gov/employers/eeo-law-poster to view the ""EEO is the Law"" poster.
Show More
Report",#N/A,501 to 1000 Employees,Non-profit Organisation,Insurance,Insurance Carriers,1939,Unknown / Non-Applicable
430,"American Modern Insurance Group
4.1",Associate Data Scientist,"Amelia Court House, VA","Associate Data Scientist
Company
American Modern Insurance Group
Location
Amelia Court House , United States
Purpose:
Uses data and statistical analysis to drive business decisions and target improved results across various functional areas.

Roles & Responsibilities:


Show More
Report",#N/A,Unknown,Company - Private,Insurance,Insurance Carriers,1994,$25 to $50 million (USD)
431,"BTAS
3.7",Junior Data Scientist,"Hampton, VA","[]

BTAS Job Posting

Job Title:
Clearance Requirement:
Junior Data Scientist

TS/SCI

Work Location:
Position Type / Standard Work Hours:
Langley Air Force Base, Hampton, VA

Full-time/40 hours per week/On-Site


Junior Data Scientist will support the Air Combat Command Cyber Defense Correlation Cell’s mission assurance objectives by providing relevant cyber incident and threat information to operational commanders and other cyber mission assurance entities. This is accomplished by providing analysis and correlation of incident and threat data for mission assurance stakeholders, facilitating incident response coordination for aligned Mission Defense Teams (MDTs), and supporting awareness of the cyber threat environment across the Defensive Cyber Operations (DCO) enterprise.



This position does not have supervisory responsibilities




An active TS/SCI clearance or higher is required.


BTAS is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.

BTAS is an E-Verify program participant.


Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.

[]
Show More
Report",#N/A,201 to 500 Employees,Company - Private,Aerospace & Defence,Aerospace & Defence,1995,$5 to $25 million (USD)
432,"Meridian Medical Technologies, LLC
3.0",Data Scientist,"Saint Louis, MO","ROLE SUMMARY
The Data Scientist is responsible for overseeing the collection and interpretation of data for businesses. Their duties include sifting through data points to create organized categories, comparing data points to current company processes and writing reports outlining business predictions or proposals.
Candidate in this role will be responsible for providing statistical support to intra-departmental and customers, support development, adoption and implementation of innovative solutions through statistical analysis tools, and actively engage with Pfizer statistical community in discussions of best practices.
ROLE RESPONSIBILITIES:
Analyze large amounts of information to discover trends and patterns to inform solutions and strategies to business challenges


Show More
Report",#N/A,201 to 500 Employees,Subsidiary or Business Segment,Manufacturing,Health Care Products Manufacturing,2003,$25 to $50 million (USD)
